"seqnames" "start" "end" "width" "strand"
"chrVII" 954028 954028 1 "+"
"chrXI" 212169 212169 1 "+"
"chrII" 396727 396727 1 "-"
"chrVII" 868888 868888 1 "+"
"chrXI" 512597 512597 1 "-"
"chrVIII" 377168 377168 1 "+"
"chrXIV" 713275 713275 1 "-"
"chrVII" 991230 991230 1 "-"
"chrXI" 40979 40979 1 "+"
"chrII" 81694 81694 1 "-"
"chrXIII" 347841 347841 1 "-"
"chrVII" 447053 447053 1 "-"
"chrVII" 241472 241472 1 "-"
"chrIX" 165038 165038 1 "-"
"chrVII" 594122 594122 1 "+"
"chrXII" 626211 626211 1 "-"
"chrVII" 1062368 1062368 1 "-"
"chrXV" 1016845 1016845 1 "-"
"chrXVI" 97503 97503 1 "-"
"chrX" 358744 358744 1 "-"
"chrXV" 847708 847708 1 "+"
"chrXVI" 861546 861546 1 "+"
"chrXVI" 868993 868993 1 "-"
"chrXII" 61652 61652 1 "-"
"chrXI" 96036 96036 1 "+"
"chrXIV" 353612 353612 1 "-"
"chrXIV" 26339 26339 1 "+"
"chrXV" 859477 859477 1 "-"
"chrXIII" 623209 623209 1 "-"
"chrXVI" 598056 598056 1 "+"
